epoch,weighted_train_loss,mean_gradient_norm_before_clip,max_gradient_norm_before_clip,max_abs_action_slot,train_cross_entropy,train_accuracy,train_balanced_accuracy
1,2.644665002822876,0.6137511730194092,0.6137511730194092,0.0,2.6092400608292543,0.2740963855421687,0.16846153846153847
2,2.6092400550842285,0.6073850989341736,0.6073850989341736,0.0,2.5719122829207457,0.39156626506024095,0.1
3,2.5719122886657715,0.6240885853767395,0.6240885853767395,0.0,2.5298171445547815,0.39156626506024095,0.1
4,2.5298171043395996,0.6648514270782471,0.6648514270782471,0.0,2.4798458972609185,0.39156626506024095,0.1
5,2.4798460006713867,0.7412223815917969,0.7412223815917969,0.0,2.418138435088008,0.39156626506024095,0.1
6,2.4181385040283203,0.864465594291687,0.864465594291687,0.0,2.340421194053558,0.39156626506024095,0.1
7,2.340421199798584,1.0392892360687256,1.0392892360687256,0.0,2.2425765072006776,0.39156626506024095,0.1
8,2.2425763607025146,1.245166540145874,1.245166540145874,0.0,2.1231165506753578,0.39156626506024095,0.1
9,2.1231164932250977,1.4153693914413452,1.4153693914413452,0.0,1.9913291471550263,0.39156626506024095,0.1
10,1.991329312324524,1.3883169889450073,1.3883169889450073,0.0,1.8758008106645332,0.39156626506024095,0.1
11,1.8758008480072021,0.9694160223007202,0.9694160223007202,0.0,1.8150496885000942,0.39156626506024095,0.1
12,1.8150495290756226,0.5808974504470825,0.5808974504470825,0.0,1.8066299622317394,0.39156626506024095,0.1
13,1.8066301345825195,1.0096921920776367,1.0096921920776367,0.0,1.8033640298498683,0.39156626506024095,0.1
14,1.8033640384674072,1.1645145416259766,1.1645145416259766,0.0,1.7915494987763554,0.39156626506024095,0.1
15,1.7915494441986084,1.0168753862380981,1.0168753862380981,0.0,1.7761905164603728,0.39156626506024095,0.1
16,1.7761905193328857,0.7895722389221191,0.7895722389221191,0.0,1.7608592941100338,0.39156626506024095,0.1
17,1.7608591318130493,0.6746533513069153,0.6746533513069153,0.0,1.7459650614175453,0.41566265060240964,0.1123076923076923
18,1.7459648847579956,0.6988046765327454,0.6988046765327454,0.0,1.7298026946653802,0.42771084337349397,0.11923076923076922
19,1.7298027276992798,0.7587394714355469,0.7587394714355469,0.0,1.7111494684793862,0.4307228915662651,0.12076923076923078
20,1.7111494541168213,0.7606489658355713,0.7606489658355713,0.0,1.6912788483033698,0.43373493975903615,0.12230769230769231
21,1.6912790536880493,0.6843811869621277,0.6843811869621277,0.0,1.6728592838149472,0.43373493975903615,0.12230769230769231
22,1.6728594303131104,0.5654689073562622,0.5654689073562622,0.0,1.6580211225762425,0.4397590361445783,0.12538461538461537
23,1.658021092414856,0.47060853242874146,0.47060853242874146,0.0,1.6473226891942772,0.4427710843373494,0.12692307692307692
24,1.647322654724121,0.4606771469116211,0.4606771469116211,0.0,1.6396103824477597,0.45180722891566266,0.13153846153846155
25,1.6396105289459229,0.5163294076919556,0.5163294076919556,0.0,1.6331327507294804,0.463855421686747,0.1376923076923077
26,1.6331326961517334,0.5753991603851318,0.5753991603851318,0.0,1.6262434993881778,0.4759036144578313,0.14384615384615385
27,1.6262434720993042,0.6066663861274719,0.6066663861274719,0.0,1.6179390413215362,0.48493975903614456,0.14846153846153848
28,1.6179392337799072,0.5996650457382202,0.5996650457382202,0.0,1.6079463728939194,0.48493975903614456,0.14846153846153848
29,1.6079463958740234,0.550611138343811,0.550611138343811,0.0,1.5971929711031627,0.48493975903614456,0.14846153846153848
30,1.5971931219100952,0.46888238191604614,0.46888238191604614,0.0,1.587207472467997,0.4819277108433735,0.14692307692307693
31,1.5872076749801636,0.3812990188598633,0.3812990188598633,0.0,1.5790133189006024,0.4789156626506024,0.1453846153846154
32,1.5790133476257324,0.32355090975761414,0.32355090975761414,0.0,1.5723968873541039,0.4759036144578313,0.14384615384615385
33,1.5723967552185059,0.31854328513145447,0.31854328513145447,0.0,1.5661770004823983,0.4819277108433735,0.14692307692307693
34,1.5661770105361938,0.3504639267921448,0.3504639267921448,0.0,1.5588410159191453,0.48493975903614456,0.14846153846153848
35,1.5588408708572388,0.38123819231987,0.38123819231987,0.0,1.549412738846009,0.49096385542168675,0.1523076923076923
36,1.549412727355957,0.39259448647499084,0.39259448647499084,0.0,1.538156440459102,0.49096385542168675,0.15384615384615383
37,1.538156509399414,0.39853888750076294,0.39853888750076294,0.0,1.5257384518542922,0.4939759036144578,0.15615384615384614
38,1.5257384777069092,0.41294464468955994,0.41294464468955994,0.0,1.5123989610786897,0.4939759036144578,0.15692307692307694
39,1.5123989582061768,0.4070819914340973,0.4070819914340973,0.0,1.498401595885495,0.49096385542168675,0.15461538461538463
40,1.4984016418457031,0.3628726303577423,0.3628726303577423,0.0,1.484532183911427,0.49096385542168675,0.15384615384615383
41,1.4845322370529175,0.34782302379608154,0.34782302379608154,0.0,1.4709764043968845,0.4879518072289157,0.15153846153846154
42,1.4709763526916504,0.4120270609855652,0.4120270609855652,0.0,1.456228692847562,0.49096385542168675,0.1523076923076923
43,1.4562287330627441,0.47423696517944336,0.47423696517944336,0.0,1.4387696047863328,0.4879518072289157,0.15153846153846154
