epoch,weighted_train_loss,train_cross_entropy,train_accuracy,train_balanced_accuracy,validation_cross_entropy,validation_accuracy,validation_balanced_accuracy,mean_gradient_norm_before_clip,max_gradient_norm_before_clip,max_abs_action_slot
1,2.6415677070617676,2.599769047328404,0.48214285714285715,0.16666666666666666,2.599769047328404,0.48214285714285715,0.16666666666666666,0.7414063215255737,0.7414063215255737,0.0
2,2.599769115447998,2.555587496076311,0.48214285714285715,0.16666666666666666,2.555587496076311,0.48214285714285715,0.16666666666666666,0.7364741563796997,0.7364741563796997,0.0
3,2.5555875301361084,2.5066732679094588,0.48214285714285715,0.16666666666666666,2.5066732679094588,0.48214285714285715,0.16666666666666666,0.7574537396430969,0.7574537396430969,0.0
4,2.5066733360290527,2.449650355747768,0.48214285714285715,0.16666666666666666,2.449650355747768,0.48214285714285715,0.16666666666666666,0.8046395182609558,0.8046395182609558,0.0
5,2.449650287628174,2.3797010694231306,0.48214285714285715,0.16666666666666666,2.3797010694231306,0.48214285714285715,0.16666666666666666,0.8952440619468689,0.8952440619468689,0.0
6,2.3797011375427246,2.291924612862723,0.48214285714285715,0.16666666666666666,2.291924612862723,0.48214285714285715,0.16666666666666666,1.0368366241455078,1.0368366241455078,0.0
7,2.2919247150421143,2.1802614756992886,0.48214285714285715,0.16666666666666666,2.1802614756992886,0.48214285714285715,0.16666666666666666,1.2391046285629272,1.2391046285629272,0.0
8,2.1802613735198975,2.0405050005231584,0.48214285714285715,0.16666666666666666,2.0405050005231584,0.48214285714285715,0.16666666666666666,1.4999475479125977,1.4999475479125977,0.0
9,2.0405049324035645,1.8754501342773438,0.48214285714285715,0.16666666666666666,1.8754501342773438,0.48214285714285715,0.16666666666666666,1.7711652517318726,1.7711652517318726,0.0
10,1.8754501342773438,1.7059117725917272,0.48214285714285715,0.16666666666666666,1.7059117725917272,0.48214285714285715,0.16666666666666666,1.9149307012557983,1.9149307012557983,0.0
11,1.7059117555618286,1.574704578944615,0.48214285714285715,0.16666666666666666,1.574704578944615,0.48214285714285715,0.16666666666666666,1.6881966590881348,1.6881966590881348,0.0
