source,stratum,state_id,normal_previous_token,swept_previous_token,swept_previous_name,argmax_action,argmax_name,argmax_equals_previous_token,argmax_changed_from_normal_token,entropy,top1_probability,top1_margin,logits,probabilities
student_dev,early,student:47:18500:0,14,7,attack,7,attack,True,True,2.071691070675284,0.43444737792015076,0.356028288602829,"[0.38632, 0.3228681, -0.0587792, 0.0739737, 0.3115811, -0.9728738, -1.1133984, 2.0983274, -0.9327552, -0.744601, -0.1579728, -0.3407288, -0.4885615, -0.4758222]","[0.0784191, 0.0735978, 0.0502479, 0.0573814, 0.0727718, 0.0201433, 0.0175026, 0.4344474, 0.0209679, 0.0253087, 0.0455028, 0.0379026, 0.0326938, 0.033113]"
student_dev,early,student:47:18500:0,14,8,forward_attack,10,fine_turn_left,False,False,2.5746944086910872,0.12159014493227005,0.0009535327553749084,"[-0.1552176, 0.4313087, 0.0243698, 0.0824872, -0.0562342, -0.1749296, -0.2791591, -0.8129377, 0.566111, -0.1778988, 0.5739841, -0.2133271, 0.1768814, -0.3081485]","[0.0586422, 0.105423, 0.0701785, 0.0743779, 0.0647438, 0.0574975, 0.0518063, 0.0303785, 0.1206366, 0.0573271, 0.1215901, 0.0553316, 0.0817408, 0.0503261]"
student_dev,early,student:47:18500:0,14,9,backward,3,turn_left,False,True,2.5766745090500542,0.12517590820789337,0.013137228786945343,"[-0.2265631, 0.4667784, 0.3009707, 0.5776542, -0.1805221, -0.3963073, -0.5664356, -0.1710723, 0.1733022, -0.0059317, 0.3400567, -0.4348257, -0.2004455, -0.3043064]","[0.0560085, 0.1120387, 0.0949202, 0.1251759, 0.0586474, 0.0472644, 0.0398702, 0.0592043, 0.0835436, 0.0698349, 0.0987037, 0.0454785, 0.0574905, 0.0518191]"
student_dev,early,student:47:18500:0,14,10,fine_turn_left,10,fine_turn_left,True,False,2.368201767800006,0.2978785037994385,0.19777683913707733,"[0.5006604, 0.1632518, -0.183216, -0.2858179, 0.3488423, -0.3613931, -0.3340563, -0.3379924, -0.404017, -0.8131786, 1.5911597, -0.1777002, -0.292092, -0.0807122]","[0.1001017, 0.0714343, 0.050517, 0.0455909, 0.0860018, 0.0422723, 0.0434439, 0.0432732, 0.0405084, 0.0269059, 0.2978785, 0.0507964, 0.0453058, 0.0559699]"
student_dev,early,student:47:18500:0,14,11,fine_turn_right,2,forward_jump,False,True,2.5951048184676813,0.10652318596839905,0.011354722082614899,"[-0.0325217, 0.2070642, 0.4282604, 0.2995149, 0.3155463, -0.2803644, -0.6439527, -0.0619973, -0.2043788, -0.5112174, 0.2419155, 0.2320146, -0.2467203, 0.0015464]","[0.0671938, 0.0853847, 0.1065232, 0.0936549, 0.0951685, 0.0524436, 0.0364576, 0.0652421, 0.0565838, 0.0416327, 0.0884129, 0.0875418, 0.054238, 0.0695224]"
student_dev,early,student:47:18500:0,14,12,fine_look_up,2,forward_jump,False,True,2.566016077418981,0.11807267367839813,0.009623169898986816,"[-0.0488111, 0.4335723, 0.5344436, 0.3942401, 0.4494279, -0.7524421, -0.6384116, 0.1301611, -0.2035252, -0.3033648, -0.5419035, -0.1318166, -0.0538483, 0.0974948]","[0.0658939, 0.1067435, 0.1180727, 0.1026266, 0.1084495, 0.0326033, 0.0365414, 0.0788083, 0.0564487, 0.0510851, 0.0402437, 0.0606452, 0.0655628, 0.0762755]"
student_dev,early,student:47:18500:0,14,13,fine_look_down,0,noop,False,True,2.5667644533766896,0.11377289891242981,0.0009159445762634277,"[0.5209354, 0.0969612, 0.3011215, -0.0905038, 0.3895853, -0.7136823, -0.5525454, 0.0932204, -0.3646553, -0.5940663, 0.5128522, -0.0094454, -0.2493228, 0.351904]","[0.1137729, 0.0744576, 0.0913219, 0.0617297, 0.0997687, 0.0331018, 0.0388895, 0.0741796, 0.046928, 0.0373078, 0.112857, 0.0669418, 0.0526647, 0.0960792]"
student_dev,early,student:47:18500:0,14,14,START,10,fine_turn_left,False,False,2.5723878541319776,0.1281622052192688,0.009553954005241394,"[0.3017505, -0.241758, 0.1969611, 0.1802415, 0.5646611, -0.1685403, 0.1094928, -0.6515069, -0.3025042, -0.6479794, 0.6421317, -0.0791094, -0.021921, -0.0295966]","[0.0911873, 0.0529531, 0.0821154, 0.0807539, 0.1186083, 0.0569757, 0.0752381, 0.0351512, 0.0498322, 0.0352754, 0.1281622, 0.0623059, 0.0659729, 0.0654685]"
student_dev,early,student:47:18500:55,7,0,noop,1,forward,False,True,2.408104262549493,0.18087130784988403,0.01591108739376068,"[0.9492644, 1.0413458, 0.264097, 0.0988316, 0.6002784, -1.4984668, -1.2578894, 0.3368805, -0.4508623, -0.7037255, 0.1300235, -0.2453402, -0.6301306, -0.6468476]","[0.1649602, 0.1808713, 0.0831409, 0.070476, 0.1163634, 0.0142673, 0.0181478, 0.0894179, 0.0406735, 0.031586, 0.0727089, 0.0499539, 0.0339983, 0.0334346]"
student_dev,early,student:47:18500:55,7,1,forward,1,forward,True,True,2.3066878755594007,0.29261907935142517,0.18246692419052124,"[0.0610543, 1.5862981, 0.5038588, 0.2315458, 0.0571505, -1.2096158, -1.5180614, 0.3079742, -0.1475611, -0.1893477, 0.6092891, -0.7300193, -0.8000962, -0.8337072]","[0.0636645, 0.2926191, 0.09913, 0.075499, 0.0634165, 0.017867, 0.0131249, 0.0814955, 0.051677, 0.0495621, 0.1101522, 0.0288628, 0.0269094, 0.02602]"
