dataset,audit_stratum,value,timesteps,episodes,seeds,teacher_action_histogram,previous_action_histogram,next_action_histogram
bc_train,tree_visible,positive,447,8,8,"{""attack"": 155, ""backward"": 6, ""fine_look_down"": 9, ""fine_look_up"": 1, ""fine_turn_left"": 19, ""fine_turn_right"": 3, ""forward"": 177, ""forward_jump"": 18, ""look_up"": 2, ""noop"": 3, ""turn_left"": 28, ""turn_right"": 26}","{""attack"": 145, ""backward"": 6, ""fine_look_down"": 4, ""fine_look_up"": 10, ""fine_turn_left"": 11, ""fine_turn_right"": 13, ""forward"": 175, ""forward_attack"": 1, ""forward_jump"": 22, ""look_up"": 2, ""noop"": 2, ""turn_left"": 26, ""turn_right"": 30}","{""attack"": 149, ""backward"": 6, ""fine_look_down"": 3, ""fine_look_up"": 2, ""fine_turn_left"": 17, ""fine_turn_right"": 3, ""forward"": 176, ""forward_attack"": 1, ""forward_jump"": 18, ""look_up"": 1, ""noop"": 13, ""turn_left"": 29, ""turn_right"": 29}"
bc_train,contact_range,negative,1334,8,8,"{""backward"": 6, ""fine_look_down"": 12, ""fine_look_up"": 16, ""fine_turn_left"": 70, ""fine_turn_right"": 36, ""forward"": 262, ""forward_attack"": 24, ""forward_jump"": 39, ""look_down"": 6, ""look_up"": 5, ""noop"": 626, ""turn_left"": 139, ""turn_right"": 93}","{""attack"": 8, ""backward"": 6, ""fine_look_down"": 17, ""fine_look_up"": 7, ""fine_turn_left"": 69, ""fine_turn_right"": 35, ""forward"": 258, ""forward_attack"": 23, ""forward_jump"": 37, ""look_down"": 6, ""look_up"": 6, ""noop"": 625, ""turn_left"": 139, ""turn_right"": 98}","{""attack"": 8, ""backward"": 6, ""fine_look_down"": 18, ""fine_look_up"": 15, ""fine_turn_left"": 72, ""fine_turn_right"": 38, ""forward"": 262, ""forward_attack"": 24, ""forward_jump"": 36, ""look_down"": 5, ""look_up"": 5, ""noop"": 622, ""turn_left"": 137, ""turn_right"": 86}"
bc_train,contact_range,positive,490,8,8,"{""attack"": 155, ""fine_look_down"": 11, ""fine_look_up"": 1, ""fine_turn_left"": 30, ""fine_turn_right"": 12, ""forward"": 91, ""forward_attack"": 10, ""forward_jump"": 26, ""look_down"": 3, ""look_up"": 5, ""noop"": 17, ""turn_left"": 48, ""turn_right"": 81}","{""attack"": 147, ""fine_look_down"": 6, ""fine_look_up"": 10, ""fine_turn_left"": 31, ""fine_turn_right"": 13, ""forward"": 95, ""forward_attack"": 11, ""forward_jump"": 28, ""look_down"": 3, ""look_up"": 4, ""noop"": 18, ""turn_left"": 48, ""turn_right"": 76}","{""attack"": 147, ""fine_look_down"": 5, ""fine_look_up"": 2, ""fine_turn_left"": 28, ""fine_turn_right"": 10, ""forward"": 91, ""forward_attack"": 10, ""forward_jump"": 29, ""look_down"": 4, ""look_up"": 5, ""noop"": 29, ""turn_left"": 50, ""turn_right"": 80}"
bc_train,valid_attack_geometry,negative,1581,8,8,"{""backward"": 6, ""fine_look_down"": 14, ""fine_look_up"": 16, ""fine_turn_left"": 95, ""fine_turn_right"": 48, ""forward"": 318, ""forward_attack"": 34, ""forward_jump"": 55, ""look_down"": 9, ""look_up"": 8, ""noop"": 641, ""turn_left"": 178, ""turn_right"": 159}","{""attack"": 10, ""backward"": 6, ""fine_look_down"": 19, ""fine_look_up"": 7, ""fine_turn_left"": 93, ""fine_turn_right"": 47, ""forward"": 317, ""forward_attack"": 33, ""forward_jump"": 51, ""look_down"": 9, ""look_up"": 8, ""noop"": 643, ""turn_left"": 178, ""turn_right"": 160}","{""attack"": 10, ""backward"": 6, ""fine_look_down"": 20, ""fine_look_up"": 15, ""fine_turn_left"": 98, ""fine_turn_right"": 48, ""forward"": 316, ""forward_attack"": 34, ""forward_jump"": 54, ""look_down"": 9, ""look_up"": 9, ""noop"": 639, ""turn_left"": 175, ""turn_right"": 148}"
bc_train,valid_attack_geometry,positive,243,7,7,"{""attack"": 155, ""fine_look_down"": 9, ""fine_look_up"": 1, ""fine_turn_left"": 5, ""forward"": 35, ""forward_jump"": 10, ""look_up"": 2, ""noop"": 2, ""turn_left"": 9, ""turn_right"": 15}","{""attack"": 145, ""fine_look_down"": 4, ""fine_look_up"": 10, ""fine_turn_left"": 7, ""fine_turn_right"": 1, ""forward"": 36, ""forward_attack"": 1, ""forward_jump"": 14, ""look_up"": 2, ""turn_left"": 9, ""turn_right"": 14}","{""attack"": 145, ""fine_look_down"": 3, ""fine_look_up"": 2, ""fine_turn_left"": 2, ""forward"": 37, ""forward_jump"": 11, ""look_up"": 1, ""noop"": 12, ""turn_left"": 12, ""turn_right"": 18}"
bc_train,approach_dynamics,decreasing,576,8,8,"{""attack"": 37, ""fine_look_down"": 18, ""fine_look_up"": 6, ""fine_turn_left"": 53, ""fine_turn_right"": 19, ""forward"": 211, ""forward_attack"": 30, ""forward_jump"": 23, ""look_down"": 3, ""look_up"": 4, ""noop"": 15, ""turn_left"": 88, ""turn_right"": 69}","{""attack"": 27, ""fine_look_down"": 9, ""fine_look_up"": 13, ""fine_turn_left"": 46, ""fine_turn_right"": 33, ""forward"": 215, ""forward_attack"": 30, ""forward_jump"": 25, ""look_down"": 6, ""look_up"": 3, ""noop"": 11, ""turn_left"": 85, ""turn_right"": 73}","{""attack"": 44, ""fine_look_down"": 11, ""fine_look_up"": 8, ""fine_turn_left"": 52, ""fine_turn_right"": 11, ""forward"": 200, ""forward_attack"": 29, ""forward_jump"": 26, ""look_down"": 2, ""look_up"": 2, ""noop"": 34, ""turn_left"": 88, ""turn_right"": 69}"
bc_train,approach_dynamics,stable,865,8,8,"{""attack"": 110, ""backward"": 4, ""fine_look_down"": 1, ""fine_look_up"": 7, ""fine_turn_left"": 12, ""fine_turn_right"": 21, ""forward"": 66, ""forward_attack"": 4, ""forward_jump"": 21, ""look_down"": 3, ""look_up"": 1, ""noop"": 581, ""turn_left"": 15, ""turn_right"": 19}","{""attack"": 112, ""backward"": 2, ""fine_look_down"": 9, ""fine_turn_left"": 13, ""fine_turn_right"": 8, ""forward"": 79, ""forward_attack"": 3, ""forward_jump"": 23, ""noop"": 592, ""turn_left"": 9, ""turn_right"": 15}","{""attack"": 100, ""backward"": 6, ""fine_look_down"": 9, ""fine_look_up"": 7, ""fine_turn_left"": 12, ""fine_turn_right"": 28, ""forward"": 68, ""forward_attack"": 5, ""forward_jump"": 16, ""look_down"": 5, ""look_up"": 2, ""noop"": 565, ""turn_left"": 21, ""turn_right"": 21}"
bc_train,approach_dynamics,increasing,359,8,8,"{""attack"": 8, ""backward"": 2, ""fine_look_down"": 4, ""fine_look_up"": 4, ""fine_turn_left"": 35, ""fine_turn_right"": 8, ""forward"": 74, ""forward_jump"": 21, ""look_down"": 3, ""look_up"": 5, ""noop"": 47, ""turn_left"": 84, ""turn_right"": 64}","{""attack"": 16, ""backward"": 4, ""fine_look_down"": 5, ""fine_look_up"": 4, ""fine_turn_left"": 41, ""fine_turn_right"": 7, ""forward"": 58, ""forward_attack"": 1, ""forward_jump"": 17, ""look_down"": 3, ""look_up"": 7, ""noop"": 32, ""turn_left"": 93, ""turn_right"": 71}","{""attack"": 11, ""fine_look_down"": 3, ""fine_look_up"": 2, ""fine_turn_left"": 36, ""fine_turn_right"": 9, ""forward"": 82, ""forward_jump"": 23, ""look_down"": 2, ""look_up"": 6, ""noop"": 52, ""turn_left"": 78, ""turn_right"": 55}"
bc_validation,tree_visible,negative,1101,4,4,"{""backward"": 14, ""fine_look_down"": 15, ""fine_look_up"": 25, ""fine_turn_left"": 50, ""fine_turn_right"": 22, ""forward"": 486, ""forward_attack"": 37, ""forward_jump"": 121, ""look_down"": 6, ""look_up"": 9, ""noop"": 15, ""turn_left"": 92, ""turn_right"": 209}","{""attack"": 5, ""backward"": 14, ""fine_look_down"": 10, ""fine_look_up"": 16, ""fine_turn_left"": 48, ""fine_turn_right"": 21, ""forward"": 501, ""forward_attack"": 36, ""forward_jump"": 119, ""look_down"": 6, ""look_up"": 8, ""noop"": 17, ""turn_left"": 94, ""turn_right"": 206}","{""attack"": 2, ""backward"": 14, ""fine_look_down"": 16, ""fine_look_up"": 25, ""fine_turn_left"": 50, ""fine_turn_right"": 24, ""forward"": 485, ""forward_attack"": 36, ""forward_jump"": 125, ""look_down"": 6, ""look_up"": 9, ""noop"": 16, ""turn_left"": 90, ""turn_right"": 203}"
bc_validation,tree_visible,positive,433,4,4,"{""attack"": 69, ""backward"": 9, ""fine_look_down"": 8, ""fine_look_up"": 7, ""fine_turn_left"": 3, ""fine_turn_right"": 3, ""forward"": 302, ""forward_jump"": 15, ""noop"": 2, ""turn_left"": 10, ""turn_right"": 5}","{""attack"": 64, ""backward"": 9, ""fine_look_down"": 13, ""fine_look_up"": 16, ""fine_turn_left"": 5, ""fine_turn_right"": 4, ""forward"": 286, ""forward_attack"": 1, ""forward_jump"": 16, ""look_up"": 1, ""noop"": 2, ""turn_left"": 8, ""turn_right"": 8}","{""attack"": 67, ""backward"": 9, ""fine_look_down"": 7, ""fine_look_up"": 7, ""fine_turn_left"": 3, ""fine_turn_right"": 1, ""forward"": 304, ""forward_attack"": 1, ""forward_jump"": 12, ""noop"": 3, ""turn_left"": 12, ""turn_right"": 7}"
