source,stratum,state_id,intervention,argmax_action,argmax_name,policy_entropy,top1_probability,logits,probabilities,js_from_normal,argmax_changed_from_normal
student_dev,early,student:11:18501:110,normal,4,turn_right,2.4302234675164884,0.20867668092250824,"[0.7938828, -0.6856083, -0.4729801, -0.8553656, 1.2529738, -0.5119908, -0.1234671, 0.3557527, -0.1270656, -1.4376051, 0.1709199, 0.2474327, 0.454515, 0.3646556]","[0.131854, 0.0300302, 0.0371451, 0.0253416, 0.2086767, 0.035724, 0.0526858, 0.0850777, 0.0524965, 0.014157, 0.0707203, 0.0763437, 0.0939091, 0.0858385]",,
student_dev,early,student:11:18501:110,zero,4,turn_right,2.2265158165087344,0.3627025783061981,"[0.4387299, -0.3979712, 0.2754391, -0.8556747, 1.901973, -0.7187894, -0.3556493, 0.2164941, -0.2364946, -1.4630065, 0.3544708, 0.0432132, -0.0695251, -0.0479332]","[0.08396, 0.0363662, 0.0713109, 0.0230101, 0.3627026, 0.0263857, 0.0379383, 0.067229, 0.0427392, 0.012536, 0.0771754, 0.0565329, 0.0505056, 0.051608]",0.024137415621344242,False
student_dev,early,student:11:18501:110,earlier_same_episode,4,turn_right,2.435580387278933,0.2044941931962967,"[0.7711818, -0.7548525, -0.5332475, -0.695968, 1.2249179, -0.5663413, -0.110414, 0.2900596, -0.0780244, -1.4226931, 0.1534154, 0.1904132, 0.5218207, 0.4038596]","[0.129905, 0.0282408, 0.0352468, 0.0299537, 0.2044942, 0.0340994, 0.0537965, 0.0802929, 0.0555674, 0.0144823, 0.0700379, 0.0726777, 0.1012348, 0.0899705]",0.0003228121976241664,False
student_dev,early,student:11:18501:110,foreign_diagnostic_state,4,turn_right,2.215482164432834,0.3259999752044678,"[0.090033, 0.388963, 0.946165, -0.5417489, 1.7928872, -1.0107247, -1.088881, 0.4225039, -0.2475489, -1.2295386, 0.5324915, -0.4509354, -0.6829335, -0.6034799]","[0.0593851, 0.0800757, 0.1397947, 0.0315717, 0.326, 0.0197526, 0.0182676, 0.0828071, 0.0423709, 0.0158707, 0.0924346, 0.0345731, 0.0274146, 0.0296817]",0.06279691456586889,False
student_dev,early,student:11:18501:166,normal,4,turn_right,2.4616189059920637,0.19328558444976807,"[0.1088856, -0.724578, -0.0579018, -0.6212854, 1.2088338, 0.34522, 0.0457238, -0.3021714, -0.2305648, -1.2801872, 0.536641, 0.1149551, 0.8347557, 0.4006843]","[0.0643425, 0.0279595, 0.0544582, 0.0310019, 0.1932856, 0.0814961, 0.0604042, 0.0426558, 0.0458223, 0.016041, 0.0986893, 0.0647342, 0.1329656, 0.0861439]",,
student_dev,early,student:11:18501:166,zero,4,turn_right,2.29166104936097,0.31669628620147705,"[-0.1864571, -0.4605542, 0.6194549, -0.6892135, 1.772799, 0.130762, -0.2031983, -0.487276, -0.3742999, -1.3038362, 0.7298758, -0.0951656, 0.3208296, -0.0099943]","[0.0446425, 0.0339399, 0.0999429, 0.0270025, 0.3166963, 0.0613077, 0.0439014, 0.0330449, 0.0369973, 0.0146042, 0.111611, 0.0489098, 0.0741414, 0.0532581]",0.020923357915746385,False
student_dev,early,student:11:18501:166,earlier_same_episode,4,turn_right,2.465862274798468,0.18819081783294678,"[0.1534101, -0.699479, -0.0951233, -0.6502637, 1.1724448, 0.324046, 0.0403529, -0.2552972, -0.244637, -1.3490735, 0.5296738, 0.1197248, 0.8380184, 0.3789182]","[0.0679262, 0.0289489, 0.0529786, 0.0304093, 0.1881908, 0.0805645, 0.0606649, 0.0451375, 0.0456213, 0.0151188, 0.098957, 0.0656762, 0.1346973, 0.0851087]",8.422428673291084e-05,False
student_dev,early,student:11:18501:166,foreign_diagnostic_state,4,turn_right,2.2411877614540248,0.2874220907688141,"[-0.3469801, 0.2041672, 1.2052307, -0.4482106, 1.6802801, -0.2692905, -0.8503305, -0.2336948, -0.4734458, -1.1397799, 0.91024, -0.5507348, -0.2338953, -0.4812951]","[0.0378523, 0.0656829, 0.1787347, 0.0342081, 0.2874221, 0.0409103, 0.0228818, 0.0423927, 0.0333556, 0.017131, 0.1330748, 0.0308747, 0.0423842, 0.0330948]",0.05882336310923722,False
student_dev,mid,student:11:18501:167,normal,4,turn_right,2.4459369026539135,0.20741896331310272,"[-0.1851083, -0.6090617, 0.0609738, -0.638923, 1.3079697, 0.6021453, 0.0580561, -0.2874133, -0.2203927, -1.2267447, 0.6075161, 0.077303, 0.7579299, 0.3264256]","[0.0466029, 0.0304995, 0.0596053, 0.0296022, 0.207419, 0.102403, 0.0594317, 0.042071, 0.0449872, 0.0164451, 0.1029545, 0.0605866, 0.1196656, 0.0777265]",,
student_dev,mid,student:11:18501:167,zero,4,turn_right,2.2829772802487867,0.31383171677589417,"[-0.4560551, -0.4116884, 0.6947061, -0.6063073, 1.7866701, 0.3513945, -0.1666047, -0.4776478, -0.3570545, -1.293857, 0.8043713, -0.1829233, 0.3011751, -0.0770931]","[0.0333191, 0.0348307, 0.1053084, 0.0286708, 0.3138317, 0.0747076, 0.0445041, 0.0326074, 0.0367865, 0.0144159, 0.1175141, 0.0437838, 0.0710484, 0.0486715]",0.017210105574729434,False
