label,feature_space,model,evaluation_split,status,majority_baseline,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,auroc,pr_auc,confusion_matrix,mae,rmse,r2
tree_visible,F1_legal_vector,fixed_logistic,bc_train,diagnostic_only,0.5,0.6889771071242318,0.5072481250720868,0.8215145480918723,0.5937107440882412,0.7680380296952652,0.45108028427776214,"[[733, 644], [69, 378]]",,,
tree_visible,F1_legal_vector,fixed_logistic,bc_validation,diagnostic_only,0.5,0.40342392911755637,0.28633408766594115,0.5255110642009514,0.3354522052805996,0.3095590194091871,0.19990034851908642,"[[273, 828], [191, 242]]",,,
tree_visible,F1_legal_vector,fixed_logistic,dagger1,diagnostic_only,0.5,0.5723123310459555,0.3945169413919414,0.5723123310459555,0.49550715808711543,0.7170799542524433,0.1380415762399192,"[[645, 271], [47, 37]]",,,
tree_visible,F1_legal_vector,fixed_logistic,student_dev,diagnostic_only,0.5,0.5653522416051441,0.452829411102345,0.6947575490767293,0.49764445035951616,0.6304437719546321,0.17221684902927817,"[[3216, 1952], [409, 423]]",,,
tree_visible,F1_legal_vector,knn_k5,bc_train,diagnostic_only,0.5,0.9247391225941035,0.9039154958638586,0.9442570438178448,0.9276443561100989,0.9860199278982452,0.9617283415257447,"[[1333, 44], [53, 394]]",,,
tree_visible,F1_legal_vector,knn_k5,bc_validation,diagnostic_only,0.5,0.5233484990550266,0.43455736275095697,0.5820041720154043,0.5231126097041874,0.42158398936092106,0.24978426074372587,"[[860, 241], [318, 115]]",,,
tree_visible,F1_legal_vector,knn_k5,dagger1,diagnostic_only,0.5,0.49617903930131,0.49158653846153844,0.5,0.47616553169198533,0.23324755666458724,0.05170047427111703,"[[909, 7], [84, 0]]",,,
tree_visible,F1_legal_vector,knn_k5,student_dev,diagnostic_only,0.5,0.513247201714694,0.5004199011778554,0.5381836037556031,0.49334251461761064,0.6662635448916407,0.2424406305919292,"[[5131, 37], [804, 28]]",,,
tree_visible,F2_current_rgb,fixed_logistic,bc_train,diagnostic_only,0.5,0.855314783134233,0.7899808115852008,0.9142738902114234,0.8006400136958828,0.9080889460764007,0.68748340339652,"[[1111, 266], [43, 404]]",,,
tree_visible,F2_current_rgb,fixed_logistic,bc_validation,diagnostic_only,0.5,0.42407175504947214,0.28172160802571455,0.5098017821422077,0.40978245186527085,0.40907384217161386,0.23055565766384117,"[[499, 602], [262, 171]]",,,
tree_visible,F2_current_rgb,fixed_logistic,dagger1,diagnostic_only,0.5,0.6055312954876274,0.5,0.6055312954876274,0.5777027027027026,0.7993085880640465,0.17846300525972034,"[[804, 112], [56, 28]]",,,
tree_visible,F2_current_rgb,fixed_logistic,student_dev,diagnostic_only,0.5,0.448981528340081,0.3949052064980385,0.5659568410903437,0.36988523558181197,0.5304741456299119,0.16577343642692094,"[[2125, 3043], [427, 405]]",,,
tree_visible,F2_current_rgb,knn_k5,bc_train,diagnostic_only,0.5,0.951163164743899,0.9300934834090452,0.9653069267597775,0.9484515271558065,0.9947377741385726,0.9851792858095125,"[[1338, 39], [31, 416]]",,,
tree_visible,F2_current_rgb,knn_k5,bc_validation,diagnostic_only,0.5,0.3520786268204634,0.22713285604690203,0.45283833747689173,0.35913324588754314,0.2448624282355113,0.18662207365791147,"[[610, 491], [368, 65]]",,,
tree_visible,F2_current_rgb,knn_k5,dagger1,diagnostic_only,0.5,0.5,0.5,0.5,0.4780793319415449,0.4329512372634643,0.16976844625257193,"[[916, 0], [84, 0]]",,,
tree_visible,F2_current_rgb,knn_k5,student_dev,diagnostic_only,0.5,0.6573849428435342,0.4414404050579246,0.7264273110744889,0.5485277027486841,0.6797721555727555,0.25532994441233403,"[[3279, 1889], [266, 566]]",,,
tree_visible,F3_four_frame_stack,fixed_logistic,bc_train,diagnostic_only,0.5,0.8055348413290248,0.7297782796557923,0.8871473384101038,0.7508682926829269,0.8912592462620976,0.6949537259754712,"[[1054, 323], [69, 378]]",,,
tree_visible,F3_four_frame_stack,fixed_logistic,bc_validation,diagnostic_only,0.5,0.4948545621972886,0.3999359863437533,0.5883244914156815,0.49486675694786914,0.4320951140365781,0.24819963637905043,"[[782, 319], [312, 121]]",,,
tree_visible,F3_four_frame_stack,fixed_logistic,dagger1,diagnostic_only,0.5,0.598981077147016,0.5,0.598981077147016,0.5676236596333448,0.7767337284258681,0.15800079261909294,"[[792, 124], [56, 28]]",,,
tree_visible,F3_four_frame_stack,fixed_logistic,student_dev,diagnostic_only,0.5,0.5376205644201,0.44174597471839616,0.7143263635826622,0.4446603815111123,0.6165660722791141,0.2500622327821243,"[[2625, 2543], [360, 472]]",,,
tree_visible,F3_four_frame_stack,knn_k5,bc_train,diagnostic_only,0.5,0.9585130597105858,0.9383779520950076,0.9768951026328188,0.9585130597105858,0.995520853133697,0.9871232157226683,"[[1349, 28], [28, 419]]",,,
tree_visible,F3_four_frame_stack,knn_k5,bc_validation,diagnostic_only,0.5,0.3841007440223353,0.2375349259866326,0.5321014972622874,0.38862036114690296,0.3236507646837958,0.21891307460257514,"[[650, 451], [356, 77]]",,,
tree_visible,F3_four_frame_stack,knn_k5,dagger1,diagnostic_only,0.5,0.47762008733624456,0.45072115384615385,0.5,0.4666666666666667,0.40049906425452275,0.08448397041552426,"[[875, 41], [84, 0]]",,,
tree_visible,F3_four_frame_stack,knn_k5,student_dev,diagnostic_only,0.5,0.7355936681352703,0.5824768682132418,0.8260495837438047,0.6014773636270113,0.7519384730739462,0.38521787826336923,"[[3460, 1708], [165, 667]]",,,
tree_visible,F4_handwritten,fixed_logistic,bc_train,diagnostic_only,0.5,0.888228470607731,0.8314020439450106,0.9337905633993347,0.8436619517964979,0.9543425954357218,0.8650707565901741,"[[1177, 200], [35, 412]]",,,
tree_visible,F4_handwritten,fixed_logistic,bc_validation,diagnostic_only,0.5,0.5564120797175778,0.44091066496617315,0.6528781359097182,0.5015622481817095,0.5993984053967315,0.37754842573889275,"[[498, 603], [147, 286]]",,,
tree_visible,F4_handwritten,fixed_logistic,dagger1,diagnostic_only,0.5,0.6137190684133915,0.5,0.6137190684133915,0.5912577240268327,0.8608078602620086,0.23414503856301627,"[[819, 97], [56, 28]]",,,
tree_visible,F4_handwritten,fixed_logistic,student_dev,diagnostic_only,0.5,0.5984907120743035,0.5223406872108165,0.6716232069700186,0.5189029192855548,0.7029612705406049,0.22996858427608316,"[[3279, 1889], [364, 468]]",,,
tree_visible,F4_handwritten,knn_k5,bc_train,diagnostic_only,0.5,0.9566682750654326,0.9370478161397575,0.9714258623178035,0.9563235231448881,0.9949652244691065,0.9855836017548615,"[[1347, 30], [29, 418]]",,,
tree_visible,F4_handwritten,knn_k5,bc_validation,diagnostic_only,0.5,0.4145192382318824,0.3121475149339072,0.6450757575757575,0.3712521758516905,0.38416891635359834,0.22094455199241292,"[[361, 740], [216, 217]]",,,
tree_visible,F4_handwritten,knn_k5,dagger1,diagnostic_only,0.5,0.4557860262008734,0.4026442307692308,0.5,0.4550408719346049,0.12518195050946143,0.0477584410315971,"[[835, 81], [84, 0]]",,,
tree_visible,F4_handwritten,knn_k5,student_dev,diagnostic_only,0.5,0.677265048225768,0.48406726280801865,0.7778107874213709,0.5453408669364607,0.7373774819897594,0.28783268017125735,"[[3118, 2050], [207, 625]]",,,
tree_visible,F5_cnn_embedding,fixed_logistic,bc_train,diagnostic_only,0.5,0.760192617937058,0.5978308520349719,0.8604668297829144,0.676962899050906,0.8258591530074619,0.5502567069693552,"[[886, 491], [55, 392]]",,,
tree_visible,F5_cnn_embedding,fixed_logistic,bc_validation,diagnostic_only,0.5,0.547763632893045,0.49872485204896855,0.5857930573541084,0.36926968397385185,0.5304038109381981,0.3203293260928737,"[[184, 917], [31, 402]]",,,
tree_visible,F5_cnn_embedding,fixed_logistic,dagger1,diagnostic_only,0.5,0.7960334788937409,0.499,0.7960334788937409,0.6143589743589744,0.8330734040341027,0.24841745538618537,"[[695, 221], [14, 70]]",,,
tree_visible,F5_cnn_embedding,fixed_logistic,student_dev,diagnostic_only,0.5,0.5790441176470589,0.5447565919748171,0.6231993233349624,0.2748288010133396,0.5751536824243868,0.16303895246941735,"[[817, 4351], [0, 832]]",,,
tree_visible,F5_cnn_embedding,knn_k5,bc_train,diagnostic_only,0.5,0.9371018603812392,0.9092164557733895,0.9592381031094656,0.9338218220284321,0.9910043394273775,0.9743662260624952,"[[1327, 50], [40, 407]]",,,
tree_visible,F5_cnn_embedding,knn_k5,bc_validation,diagnostic_only,0.5,0.467458724275433,0.32026488513379897,0.6730639730639731,0.44206855760657504,0.39372982361195885,0.23559515337881173,"[[503, 598], [226, 207]]",,,
tree_visible,F5_cnn_embedding,knn_k5,dagger1,diagnostic_only,0.5,0.7287117903930131,0.5,0.7287117903930131,0.732474609858806,0.6643792888334372,0.4487784081470934,"[[877, 39], [42, 42]]",,,
tree_visible,F5_cnn_embedding,knn_k5,student_dev,diagnostic_only,0.5,0.6428781406287212,0.4952391054544553,0.7172931902814474,0.5277276958801383,0.7346473397683972,0.4184862551966959,"[[3098, 2070], [261, 571]]",,,
tree_visible,F6_gru_hidden,fixed_logistic,bc_train,diagnostic_only,0.5,0.8380854205962773,0.7570138278027279,0.895945354927791,0.7914260632106757,0.9281305694868883,0.8311129446215646,"[[1119, 258], [61, 386]]",,,
tree_visible,F6_gru_hidden,fixed_logistic,bc_validation,diagnostic_only,0.5,0.6280674927055605,0.6092464170134073,0.6770622895622895,0.5011492386373733,0.751494022859756,0.5123299515293023,"[[371, 730], [35, 398]]",,,
tree_visible,F6_gru_hidden,fixed_logistic,dagger1,diagnostic_only,0.5,0.548216885007278,0.001,0.7051282051282051,0.2902460857947235,0.30611873570388853,0.058821862448805676,"[[241, 675], [14, 70]]",,,
