episode_seed,steps,action_history_mode,accuracy,balanced_accuracy,action_transitions,dominant_action_fraction,max_period_1_streak,max_period_2_cycle_streak,max_period_3_cycle_streak,max_period_4_cycle_streak,dominant_period_1_to_4,fraction_of_episode_in_dominant_period_1_to_4_cycle,dominant_period_2_to_4_cycle_fraction,dominant_action_bigram,dominant_bigram_fraction,time_to_first_action_transition,pure_single_action_fixed_point
18302,332,teacher_previous_action,0.5120481927710844,0.10633484162895927,1,0.9608433734939759,319,0,0,0,1,0.9608433734939759,0.0,forward -> forward,0.9607250755287009,13,False
18302,332,model_predicted_previous_action,0.5120481927710844,0.10633484162895927,1,0.9608433734939759,319,0,0,0,1,0.9608433734939759,0.0,forward -> forward,0.9607250755287009,13,False
18302,332,all_start,0.5120481927710844,0.10633484162895927,1,0.9608433734939759,319,0,0,0,1,0.9608433734939759,0.0,forward -> forward,0.9607250755287009,13,False
18302,332,all_noop,0.5120481927710844,0.10633484162895927,1,0.9608433734939759,319,0,0,0,1,0.9608433734939759,0.0,forward -> forward,0.9607250755287009,13,False
18302,332,random_valid_action,0.5120481927710844,0.10633484162895927,1,0.9608433734939759,319,0,0,0,1,0.9608433734939759,0.0,forward -> forward,0.9607250755287009,13,False
18303,202,teacher_previous_action,0.6039603960396039,0.13703703703703704,8,0.8514851485148515,131,0,0,0,1,0.6485148514851485,0.0,forward -> forward,0.835820895522388,13,False
18303,202,model_predicted_previous_action,0.6039603960396039,0.13703703703703704,8,0.8514851485148515,131,0,0,0,1,0.6485148514851485,0.0,forward -> forward,0.835820895522388,13,False
18303,202,all_start,0.6039603960396039,0.13703703703703704,8,0.8514851485148515,131,0,0,0,1,0.6485148514851485,0.0,forward -> forward,0.835820895522388,13,False
18303,202,all_noop,0.6039603960396039,0.13703703703703704,8,0.8514851485148515,131,0,0,0,1,0.6485148514851485,0.0,forward -> forward,0.835820895522388,13,False
18303,202,random_valid_action,0.6039603960396039,0.13703703703703704,8,0.8514851485148515,131,0,0,0,1,0.6485148514851485,0.0,forward -> forward,0.835820895522388,13,False
