epoch,weighted_train_loss,mean_gradient_norm_before_clip,max_gradient_norm_before_clip,max_abs_action_slot,train_cross_entropy,train_accuracy,train_balanced_accuracy,validation_cross_entropy,validation_accuracy,validation_balanced_accuracy
1,2.6588021334924727,0.3450137600302696,0.4085218608379364,0.0,2.6524899301212,0.09894259818731117,0.0578763297226405,2.6597623789355103,0.09550561797752809,0.09345384345384344
2,2.6431120661090146,0.35656165331602097,0.43343937397003174,0.0,2.6285214611410734,0.13066465256797583,0.07142857142857142,2.628131309252107,0.13857677902621723,0.07142857142857142
3,2.6271788766016773,0.3679452911019325,0.5874232649803162,0.0,2.602880863984906,0.13066465256797583,0.07142857142857142,2.5929414556267556,0.13857677902621723,0.07142857142857142
4,2.61099685012754,0.44448861479759216,0.7044891119003296,0.0,2.5701920662041515,0.13141993957703926,0.07163621262458472,2.5424550945839184,0.20599250936329588,0.07576000446036547
5,2.588677965262145,0.3930773138999939,0.47846025228500366,0.0,2.5290895675244287,0.2726586102719033,0.07844756399669695,2.4728958187031833,0.5280898876404494,0.07625482625482626
6,2.563097129775678,0.5885961577296257,1.1113946437835693,0.0,2.471099392525019,0.26435045317220546,0.07390586292320397,2.3715406553575606,0.5205992509363296,0.0723938223938224
7,2.5317996906009688,0.5875417813658714,1.0245707035064697,0.0,2.3905797768215398,0.2598187311178248,0.07142857142857142,2.2252226983116805,0.5187265917602997,0.07142857142857142
8,2.495053597267301,0.811701625585556,1.3998911380767822,0.0,2.3094195455222692,0.2598187311178248,0.07142857142857142,2.0782948468954823,0.5187265917602997,0.07142857142857142
9,2.4663747563462963,1.0947425067424774,1.7187403440475464,0.0,2.2528109593693944,0.2598187311178248,0.07142857142857142,1.9928357985135767,0.5187265917602997,0.07142857142857142
10,2.469887565990229,1.0032809972763062,1.966689109802246,0.0,2.2179957732693305,0.2598187311178248,0.07142857142857142,1.956018112125468,0.5187265917602997,0.07142857142857142
11,2.466983142576189,1.223219245672226,1.9778627157211304,0.0,2.199664758411419,0.2598187311178248,0.07142857142857142,1.9554765679863062,0.5187265917602997,0.07142857142857142
12,2.4651019638038476,1.181154415011406,1.5146340131759644,0.0,2.1863122577033374,0.2598187311178248,0.07142857142857142,1.954057443454471,0.5187265917602997,0.07142857142857142
13,2.4671419565411132,1.0765476673841476,1.4654864072799683,0.0,2.1981307891200315,0.26132930513595165,0.07225433526011561,2.0051637570956227,0.5187265917602997,0.07142857142857142
14,2.4506519098296264,1.1852237284183502,1.7397691011428833,0.0,2.2123111137090494,0.26510574018126887,0.07431874483897605,2.046571195795295,0.5224719101123596,0.07335907335907335
15,2.44497215333662,0.8798581957817078,1.1276391744613647,0.0,2.234287734478262,0.270392749244713,0.07720891824938068,2.0839171677492976,0.5262172284644194,0.07528957528957528
16,2.4317398878022622,0.9172358959913254,1.3577072620391846,0.0,2.2395793995468276,0.2756797583081571,0.08282654615574127,2.087050762962313,0.5299625468164794,0.07722007722007722
17,2.4242746399608626,0.8973731622099876,1.6819592714309692,0.0,2.2292137261243745,0.27341389728096677,0.0827266118902803,2.053375815630852,0.5299625468164794,0.07722007722007722
18,2.4116230428759065,1.269636332988739,2.1274735927581787,0.0,2.202919813081217,0.2756797583081571,0.08143190796219746,1.9939387746518025,0.5299625468164794,0.07722007722007722
19,2.404710114722526,1.123741552233696,2.2654287815093994,0.0,2.1708223740499903,0.2764350453172205,0.0805119735755574,1.92745137303956,0.5299625468164794,0.07722007722007722
20,2.380562430602186,1.310153990983963,1.9541537761688232,0.0,2.1385343960764907,0.2809667673716012,0.08298926507018992,1.866677845015508,0.5355805243445693,0.08011583011583012
21,2.3729046614688687,1.4015360474586487,2.0555574893951416,0.0,2.11729411560243,0.290785498489426,0.09105327352561722,1.8451059177127225,0.5411985018726592,0.08301158301158303
22,2.3621580036205105,1.2824771255254745,1.6719917058944702,0.0,2.098900544319268,0.2688821752265861,0.09768729131902551,1.8354209871327833,0.5543071161048689,0.08976833976833977
23,2.3357801775017535,1.4030053317546844,1.7146191596984863,0.0,2.081985277711805,0.2756797583081571,0.11177028217585534,1.8328780842184573,0.5617977528089888,0.09716627406158092
24,2.3223858470282885,1.5511872172355652,2.269808053970337,0.0,2.072418040019148,0.2794561933534743,0.11866523944018943,1.8374189169665847,0.5823970037453183,0.10849142076578899
25,2.304433623379451,1.4012477546930313,1.7746613025665283,0.0,2.0752478193300368,0.2794561933534743,0.12378910735248162,1.8545575659819757,0.5730337078651685,0.10932425463111382
26,2.2797732830407758,1.3673574775457382,2.332828998565674,0.0,2.057168078926755,0.2998489425981873,0.15849720841299406,1.8435059736730455,0.5842696629213483,0.10945667173103997
27,2.260638404288681,1.2118037939071655,1.5161001682281494,0.0,2.0542644143464703,0.2998489425981873,0.16067724521036952,1.8376097947024228,0.5711610486891385,0.10269991497428321
28,2.2325032394818307,1.4124385118484497,2.455251455307007,0.0,2.0321241303873205,0.29003021148036257,0.15262437265414422,1.8249215686812383,0.5561797752808989,0.09710006551161786
29,2.224698810779076,1.3862455785274506,2.4250497817993164,0.0,1.9979481999607605,0.3459214501510574,0.17885751168487382,1.8084515632315075,0.5468164794007491,0.09368858285825796
30,2.1920683558613874,1.5623463690280914,2.7895820140838623,0.0,1.9665209605974734,0.3957703927492447,0.20255587357507615,1.8100283047679657,0.5393258426966292,0.09194973725659647
31,2.1783575664114014,1.4493987262248993,2.235654592514038,0.0,1.9410824271487326,0.38972809667673713,0.1987208745516493,1.8284730375482794,0.548689138576779,0.09748337816929875
32,2.1436655909453273,1.5725152790546417,2.5394253730773926,0.0,1.9221425128487302,0.41465256797583083,0.21840339592433633,1.8458711431267556,0.5449438202247191,0.09838242058458666
33,2.123400863924055,1.417025864124298,1.9847511053085327,0.0,1.905943014830621,0.41465256797583083,0.2223668739787739,1.8617200529977176,0.5617977528089888,0.1225729339447751
34,2.1082393293834527,1.4107286185026169,1.8590970039367676,0.0,1.9062595079312512,0.41389728096676737,0.2280712377134986,1.881198954492919,0.5093632958801498,0.11064232747445744
35,2.075838869431948,1.6049477458000183,2.2057056427001953,0.0,1.873938742000891,0.4131419939577039,0.22402717358853655,1.8707809162497073,0.5280898876404494,0.11124081791951827
36,2.0449069155847197,1.5755096971988678,2.006063938140869,0.0,1.852194103229442,0.4199395770392749,0.22741738864639674,1.848787914947624,0.5411985018726592,0.11292042429226545
37,2.051680659869646,1.514934092760086,2.2303049564361572,0.0,1.8449989848986854,0.4229607250755287,0.23011613944949935,1.8312415648042486,0.5299625468164794,0.10809416946601062
38,2.023420326119103,1.5803597271442413,2.7143185138702393,0.0,1.8187250327487727,0.43277945619335345,0.23724519529906524,1.8257178831636236,0.5430711610486891,0.11343615404987248
39,1.9804113139918924,1.5016901791095734,1.799008846282959,0.0,1.7817497022922666,0.425226586102719,0.22893774525874913,1.8304195332616455,0.5430711610486891,0.11343615404987248
40,1.972894828035032,1.7763156294822693,2.419377326965332,0.0,1.751108740031539,0.4297583081570997,0.2300584819479091,1.8298513576779025,0.5299625468164794,0.10667939729311571
41,1.9593968257262988,1.9490701705217361,2.5368971824645996,0.0,1.7428955354719364,0.44561933534743203,0.24359767040466473,1.8398958699087078,0.5093632958801498,0.1010133392804873
42,1.911889764477479,1.6785860657691956,2.7724642753601074,0.0,1.7515243230629542,0.4554380664652568,0.25693009508782366,1.8594342063875233,0.5112359550561798,0.10339336241863317
43,1.9011529712878685,1.7513274550437927,2.485574960708618,0.0,1.7035984604020133,0.45845921450151056,0.2593031331492219,1.8584084957279963,0.5318352059925093,0.11259635086349887
44,1.8948911535595838,2.3179968297481537,4.305174350738525,0.0,1.6777968046528335,0.44410876132930516,0.2490134447101579,1.8710814058110956,0.552434456928839,0.12179933930836458
45,1.8730075487197346,2.1475400030612946,3.2000064849853516,0.0,1.691987824223913,0.4645015105740181,0.2899721214417916,1.8802687969993563,0.5374531835205992,0.11619948984569925
46,1.837637763189045,2.133320242166519,3.1816506385803223,0.0,1.672933319183995,0.472809667673716,0.29488505781208035,1.8675587400514981,0.5205992509363296,0.10751223115844054
47,1.8109052379325798,1.6523552536964417,2.4656548500061035,0.0,1.638571736315586,0.46676737160120846,0.27806227931179495,1.8526482171333685,0.5224719101123596,0.1084774821236915
48,1.8021510048035048,1.9852566719055176,2.4581053256988525,0.0,1.629326788680431,0.48036253776435045,0.300495271861815,1.8646945453315191,0.5224719101123596,0.10918486821013897
49,1.7868495607844292,1.6201814711093903,1.8864727020263672,0.0,1.62166605831273,0.48338368580060426,0.3136451955612052,1.8920978446131789,0.5243445692883895,0.12351466345148654
50,1.7599676983414099,1.659391701221466,1.9745466709136963,0.0,1.5861044707975358,0.4826283987915408,0.312195569019988,1.8835747536648526,0.5262172284644194,0.12031138926445786
51,1.730079197001241,1.8498555570840836,2.770024299621582,0.0,1.5683177705977978,0.4962235649546828,0.31784123612051324,1.8876652521140567,0.5205992509363296,0.11034177550423038
52,1.7031836341334974,1.7120134234428406,2.158456802368164,0.0,1.5712563091174354,0.5007552870090635,0.33100892376655777,1.8959343728054776,0.4737827715355805,0.1026397253834077
53,1.6945325112775014,1.638838529586792,2.526179075241089,0.0,1.5306917979998171,0.5045317220543807,0.32265405693886257,1.8579869645365168,0.47752808988764045,0.09820375253588251
54,1.6990939402148082,2.477751851081848,5.305943965911865,0.0,1.50668673789033,0.5241691842900302,0.3437114717815574,1.8420769052112593,0.5037453183520599,0.10252124692557905
55,1.6804474889331713,2.040097177028656,2.649101495742798,0.0,1.5239793137841355,0.5309667673716012,0.35443889556586416,1.8499427823984667,0.48314606741573035,0.10392904977742523
56,1.6358732844947688,1.5941056907176971,2.243978500366211,0.0,1.4739275007449608,0.5196374622356495,0.3359410747897082,1.8566163023759363,0.5205992509363296,0.1117565476771253
